Id,Doctor_Id,Hospital_Affiliations
68,36,Baystate Medical Center
69,37,Lahey Clinic
70,38,Beth Israel Deaconess Medical Center
71,38,Private Practice
72,39,Cambridge Health Alliance
73,40,McLean Hospital
74,41,Lahey Clinic
75,42,Private Office
76,42,Cambridge Health Alliance - Cambridge Campus
77,43,Cambridge Health Alliance - Cambridge Campus
78,44,Out of State Hospital
79,44,Mental Health Clinic
80,45,Tufts Medical Center
81,46,Other
82,46,Cambridge Public Hlth Commission (The)
83,46,Office-Solo Practice
84,47,Private Office
85,47,Children's Hospital Boston
86,48,Cambridge Health Alliance
87,49,Private Practice
88,50,Lahey Clinic
89,50,Cape Cod Hospital
90,51,Mount Auburn Hospital
91,51,Beth Israel Deaconess Medical Center
92,51,Offfice/private practice
93,52,Private Office
94,52,Human Relations Services
95,53,Harvard Vanguard Medical Assoc. Kenmore
96,53,Harvard Vanguard Wellesley
97,54,McLean Hospital
98,55,Lahey Clinic
99,56,Mount Auburn Hospital
100,57,Other
101,57,MIT
102,57,Mount Auburn Hospital
103,57,Brigham & Women's Hospital
104,58,Cambridge Health Alliance - Cambridge Campus
105,59,Lahey Clinic
106,60,Mount Auburn Hospital
107,60,Quincy Hospital
108,60,Steward Carney Hospital
109,60,Taunton State Hospital
110,60,Saint Vincent Hospital
111,61,Massachusetts General Hospital
112,62,Lahey Clinic
113,62,Lahey Clinic
114,63,Cambridge Health Alliance
115,63,Private Office
116,64,Lahey Clinic
117,64,Other
118,64,Lahey Clinic
119,65,Faulkner Hospital
120,65,Brigham & Women's Hospital
121,65,Dana Farber Cancer Institute
122,65,Lahey Clinic
123,65,Cape Cod Hospital
124,66,Hallmark Health -Lawrence Memorial Hospital
125,67,Lahey Clinic
126,68,Out of State Hospital
127,69,Cambridge Public Hlth Commission (The)
128,70,Cooley Dickinson Hospital (The)
129,70,Baystate Medical Center
130,70,Private Office
131,71,Beth Israel Deaconess Medical Center
132,72,Cambridge Health Alliance
133,73,New England Baptist Hospital
134,73,Mount Auburn Hospital
135,73,Winchester Hospital
136,74,Lahey Clinic
137,75,Cambridge Health Alliance
138,76,McLean Hospital
139,76,McLean Hospital
140,77,Mount Auburn Hospital
141,77,Mount Auburn Hospital
142,77,Other
143,78,Cambridge Health Alliance
144,79,Private Office
145,80,Lahey Clinic
146,81,UMass Medical School
147,81,Private Practice
148,81,Other
149,81,Dept of Mental Health
150,82,Lahey Clinic
151,83,Massachusetts General Hospital
152,83,Beth Israel Deaconess Medical Center
153,84,M.I.T. Medical Department
154,85,Cambridge Health Alliance
155,86,Private Practice
156,87,Cambridge Health Alliance
157,88,Lahey Clinic
158,89,Cambridge Health Alliance - Whidden Campus
159,89,Cambridge Health Alliance - Cambridge Campus
160,89,M.I.T. Medical Department
161,90,Harvard Vanguard Medical Assoc. Kenmore
162,91,Emerson Hospital
163,91,Lowell General Hospital
164,92,Cambridge Health Alliance - Cambridge Campus
165,92,Private Practice
166,93,Cambridge Health Alliance - Cambridge Campus
167,94,Cambridge Health Alliance
168,95,Private Office
169,95,Private Office
170,96,Cambridge Health Alliance - Cambridge Campus
171,96,McLean Hospital
172,97,Beth Israel Deaconess Medical Center
173,97,Cambridge Health Alliance - Cambridge Campus
174,98,Lahey Clinic
175,98,Lahey Clinic
176,99,Private Practice
177,99,Harvard University Health Services
178,100,Cambridge Health Alliance
179,100,Private Office
180,100,Dept of Mental Health
181,100,University of Massachusetts Med Center
182,101,Lahey Clinic
183,102,Cambridge Public Hlth Commission (The)
184,102,Private Practice
185,103,Lahey Clinic
186,104,Cambridge Health Alliance
187,105,Cambridge Health Alliance - Cambridge Campus
188,106,Mount Auburn Hospital
189,106,Mount Auburn Hospital
190,107,Cambridge Health Alliance - Cambridge Campus
191,108,Office-Solo Practice
192,109,Private Office
193,110,Cambridge Health Alliance - Cambridge Campus
194,110,Charles River Hospital
195,110,The Arbour
196,110,Bournewood Hospital
197,110,Caulfield Ctr (Choate Health Systems)
198,110,Human Resource Institute of Boston
199,111,Other
200,112,Lahey Clinic
201,113,Cambridge Health Alliance
202,114,Cambridge Health Alliance
203,115,Cambridge Health Alliance
204,116,Boston College Counseling Services
205,116,Brandeis University Health Services
206,117,Private Office
207,117,Boston College Counseling Svc- Chestnut Hill
208,117,Steward St. Elizabeth's Medical Center of Boston
209,118,Lahey Clinic
210,119,Cambridge Health Alliance
211,120,Cambridge Health Alliance - Cambridge Campus
212,120,Private Practice
213,121,Children's Hospital Boston
214,121,Cambridge Public Hlth Commission (The)
215,121,Private Practice
216,121,Advocates Community Counseling
217,122,Private Practice
218,123,UMass Health System/Clinton Hospital
219,123,UMass Memorial Medical Center
220,123,Beaumont Rehab & Skilled Nursing Ctr
221,123,Christopher House of Worcester
222,123,Coleman House
223,123,Notre Dame Long Term Care Center
224,123,Shrewsbury Nursing Home
225,123,St. Camillus Nursing Home
226,123,Community HealthLINK
227,123,Inc
228,123,St. Mary Health Care Center
229,123,Beaumont Nothbridge Skilled Nursing Facility
230,124,Cambridge Health Alliance
231,125,Private Practice
232,126,Baystate Medical Center
233,126,Cooley Dickinson Hospital (The)
234,126,Holyoke Medical Center
235,126,Private Practice
236,127,Cambridge Health Alliance - Somerville Campus
237,127,Cambridge Health Alliance - Whidden Campus
238,127,Cambridge Health Alliance - Cambridge Campus
239,128,McLean Hospital
240,128,Harvard Vanguard Medical Assoc.- Burlington
241,129,Lahey Clinic
242,130,Lahey Clinic
243,130,Lahey Clinic
244,131,Cambridge Health Alliance
245,132,Lahey Clinic
246,133,Marlborough Hospital
247,134,Cambridge Health Alliance
248,134,Private Practice
249,134,Beth Israel Deaconess Medical Center
250,135,Clinic
251,135,Private Practice
252,136,Cambridge Health Alliance
253,137,Massachusetts General Hospital
254,137,Private Office
255,137,M.I.T. Medical Department
256,138,Private Practice
257,139,Lahey Clinic
258,140,McLean Hospital
259,140,Cambridge Health Alliance - Somerville Campus
260,140,Cambridge Health Alliance - Cambridge Campus
261,141,Other
262,142,Cambridge Health Alliance - Cambridge Campus
263,142,Cambridge Health Alliance - Somerville Campus
264,143,Lahey Clinic
265,144,Lahey Clinic
266,144,Lahey Clinic (HMO)
267,145,Mount Auburn Hospital
268,146,Boston Medical Center
269,147,Cooley Dickinson Hospital (The)
270,148,Cambridge Health Alliance
271,149,Lahey Clinic
272,150,Lahey Clinic
273,150,Lahey Clinic
274,151,Lahey Clinic
275,151,Lahey Clinic
276,152,Winchester Hospital
277,152,Lahey Clinic
278,152,Winchester Hospital Oncology Center
279,153,Cambridge Health Alliance - Cambridge Campus
280,153,Massachusetts General Hospital
281,153,Beth Israel Deaconess Medical Center
282,154,Melrose-Wakefield Hospital
283,154,Mount Auburn Hospital
284,154,Boston Medical Center
285,155,Lahey Clinic
286,155,Out of State Hospital
287,156,Children's Hospital Boston
288,157,Mount Auburn Hospital
289,157,Newton-Wellesley Hospital
290,157,Beth Israel Deaconess Medical Center
291,158,New England Baptist Hospital
292,158,Mount Auburn Hospital
293,158,Boston Outpatient Surgical Suites
294,158,ProSports Orthopedics
295,158,MIT Health Services
296,159,Lahey Clinic
297,159,Lahey Clinic
298,160,Cambridge Health Alliance - Somerville Campus
299,160,Cambridge Health Alliance - Whidden Campus
300,160,Mount Auburn Hospital
301,160,Cambridge Health Alliance - Cambridge Campus
302,161,Beverly Hospital
303,161,Lahey Clinic
304,162,Lahey Clinic
305,163,South Shore Hospital
306,163,Children's Hospital Boston
307,164,Lahey Clinic
308,165,Lahey Clinic
309,166,Other
310,167,Winchester Hospital
311,168,Lahey Clinic
312,169,Newton-Wellesley Hospital
313,169,South Shore Hospital
314,169,Beth Israel Deaconess Medical Center
315,169,South Shore Center
316,169,The Surgery Center Of Waltham
317,170,Mount Auburn Hospital
318,171,Lahey Clinic
319,172,South Shore Hospital
320,173,Harvard Vanguard Medical Assoc.- Burlington
321,174,Cambridge Health Alliance - Cambridge Campus
322,174,Cambridge Health Alliance - Cambridge Campus
323,175,Private Office
324,176,Lahey Clinic
325,177,Winchester Hospital
326,178,Harvard Vanguard Medical Assoc. Kenmore
327,178,Beth Israel Deaconess Medical Center
328,178,Boston IVF
329,179,Qvest Diagnostics
330,180,Spaulding Rehabilitation Hospital
331,180,Faulkner Hospital
332,180,Lahey Clinic
333,181,Cooley Dickinson Hospital (The)
334,181,Baystate Medical Center
335,182,South Shore Hospital
336,182,Children's Hospital Boston
337,182,Massachusetts General Hospital
338,182,Tufts - New England Medical Center Hospitals
339,183,Lahey Clinic
340,184,Beth Israel Deaconess Medical Center
341,184,Beth Israel Deaconess Hospital - Milton
342,184,Beth Israel Deaconess Hospital Needham
343,185,Mount Auburn Hospital
344,185,Children's Hospital Boston
345,185,Private Office
346,186,Cambridge Health Alliance - Somerville Campus
347,186,Cambridge Health Alliance - Cambridge Campus
348,186,Cambridge Health Alliance
349,186,Cambridge Health Alliance - Whidden Campus
350,187,Mount Auburn Hospital
351,188,Cooley Dickinson Hospital (The)
352,188,Baystate Medical Center
353,189,Massachusetts General Hospital
354,189,Children's Hospital Boston
355,189,Lahey Clinic
356,189,Beth Israel Deaconess Medical Center
357,190,Cambridge Health Alliance
358,191,Quincy Hospital
359,192,U Mass Health System
360,192,Marlborough Hosp
361,192,Wing Memorial Hospital
362,192,UMass Memorial Medical Center
363,192,UMass Health System/Clinton Hospital
364,193,Lincoln Pediatrics
365,194,Beverly Hospital
366,194,Lahey Clinic
367,195,Lahey Clinic
368,196,Cambridge Health Alliance - Somerville Campus
369,196,Cambridge Health Alliance - Whidden Campus
370,196,Youville Hospital & Rehabilitation Ctr
371,196,Cambridge Health Alliance - Cambridge Campus
372,196,Massachusetts General Hospital
373,196,Cambridge Health Alliance
374,197,Mount Auburn Hospital
375,197,Beth Israel Deaconess Medical Center
376,198,Quest Diagnostics
377,198,Inc.
378,199,Lahey Clinic
379,200,Cambridge Health Alliance - Cambridge Campus
380,200,Massachusetts General Hospital
381,200,Beth Israel Deaconess Medical Center
382,201,Lahey Clinic
383,202,Beverly Hospital
384,202,Lahey Clinic
385,202,Addison Gilbert Hospital
386,203,Cambridge Health Alliance - Cambridge Campus
387,203,Cambridge Public Hlth Commission (The)
388,204,Children's Hospital Boston
389,205,Brigham & Women's Hospital
390,205,Cambridge Health Alliance - Somerville Campus
391,205,Martha's Vineyard Hospital
392,205,Cambridge Health Alliance - Whidden Campus
393,205,Sturdy Memorial Hospital
394,205,Inc.
395,205,Cambridge Health Alliance - Cambridge Campus
396,206,Lahey Clinic
397,206,Winchester Hospital
398,207,Clinic
399,208,Cambridge Health Alliance
400,209,Cambridge Health Alliance - Cambridge Campus
401,209,Cambridge Health Alliance
402,210,Lahey Clinic
403,211,Children's Hospital Boston
404,211,Lahey Clinic
405,212,New England Baptist Hospital
406,212,Part of Beth Israel Lahey Health
407,212,Mount Auburn Hospital
408,212,Lahey Hospital & Medical Center
409,213,New England Baptist Hospital
410,213,Mount Auburn Hospital
411,213,Boston Outpatient Surgical Suites
412,214,Mount Auburn Hospital
413,215,Beth Israel Deaconess Medical Center
414,215,BID Needham
415,215,Harvard Vanguard Medical Assoc. Kenmore
416,215,Newton-Wellesley Hospital
417,215,Beth Israel Deaconess Hospital - Milton
418,216,Mount Auburn Hospital
419,217,Lahey Clinic
420,218,Cambridge Health Alliance - Somerville Campus
421,218,Cambridge Health Alliance - Whidden Campus
422,218,Cambridge Health Alliance - Cambridge Campus
423,219,Lahey Clinic
424,219,Lahey Clinic
425,220,Cooley Dickinson Hospital (The)
426,221,Genzyme Corporation- Cambridge
427,222,Lahey Clinic
428,223,Children's Hospital Boston
429,224,Newton-Wellesley Hospital
430,224,Mount Auburn Hospital
431,224,New England Baptist Hospital
432,225,Barton Center for Diabetes
433,225,Inc.
434,226,Children's Hospital Boston
435,226,Lahey Clinic
436,226,Beth Israel Deaconess Medical Center
437,227,Lahey Clinic
438,228,Lahey Clinic
439,229,Lahey Clinic
440,230,Mount Auburn Hospital
441,230,Massachusetts General Hospital
442,231,Massachusetts General Hospital
443,231,Cambridge Public Hlth Commission (The)
444,231,Spaulding Rehabilitation Hospital
445,231,MIT Health Services
446,232,Lahey Clinic
447,233,Cooley Dickinson Hospital (The)
448,233,University Health Services
449,234,Lahey Clinic
450,234,Other
451,235,Lahey Clinic
452,236,Massachusetts General Hospital
453,237,Lahey Clinic
454,237,Lahey Clinic
455,238,Lahey Clinic
456,239,Lahey Clinic
457,240,Cambridge Health Alliance - Cambridge Campus
458,240,Beth Israel Deaconess Medical Center
459,241,Tufts Medical Center
460,242,Lahey Clinic
461,242,Lahey Clinic
462,243,Winchester Hospital
463,244,Lahey Clinic
464,244,Beverly Hospital
465,245,Telemedicine
466,246,Cambridge Public Hlth Commission (The)
467,247,Cambridge Health Alliance - Cambridge Campus
468,248,Cambridge Public Hlth Commission (The)
469,249,Lahey Clinic
470,250,Cambridge Health Alliance - Whidden Campus
471,251,Cooley Dickinson Hospital (The)
472,252,Lahey Clinic
473,253,Lahey Clinic
474,253,Lahey Clinic
475,254,South Shore Hospital
476,254,Children's Hospital Boston
477,255,Cambridge Public Hlth Commission (The)
478,256,Lahey Clinic
479,257,Cooley Dickinson Hospital (The)
480,258,Lahey Clinic
481,258,Beverly Hospital
482,259,Massachusetts General Hospital
483,260,Cambridge Health Alliance
484,261,Lahey Clinic
485,262,Novartis Institute for Biomedical Research
486,263,Lahey Clinic
487,263,Lahey Clinic
488,263,Lahey Clinic (HMO)
489,264,Mount Auburn Hospital
490,265,Cambridge Health Alliance - Cambridge Campus
491,266,Other
492,266,Lincoln Pediatrics
493,267,Cooley Dickinson Hospital (The)
494,268,Cambridge Health Alliance - Cambridge Campus
495,268,Cambridge Health Alliance - Somerville Campus
496,268,Cambridge Health Alliance
497,269,Noble Hospital
498,269,Holyoke Hospital
499,269,Mercy Medical Center
500,269,Cooley Dickinson Hospital (The)
501,270,Brigham & Women's Hospital
502,271,Winchester Hospital
503,271,Lahey Clinic
504,272,Lahey Clinic
505,273,Lahey Clinic
506,274,Massachusetts Eye & Ear Infirmary
507,274,Harvard Vanguard- Boston
508,274,Shields Health Care Group
509,275,Private Practice
510,276,UMass Memorial Medical Center
511,276,Mount Auburn Hospital
512,277,Cooley Dickinson Hospital (The)
513,278,Other
514,278,Other
515,279,Cambridge Health Alliance - Cambridge Campus
516,279,Cambridge Health Alliance
517,280,South Shore Hospital
518,280,Milton Hospital
519,281,Mount Auburn Hospital
520,281,Beth Israel Deaconess Medical Center
521,282,Lahey Clinic
522,283,Lahey Clinic
523,284,Mount Auburn Hospital
524,284,Newton-Wellesley Hospital
525,284,Tufts Medical Center
526,284,Beth Israel Deaconess Medical Center
527,285,Lahey Clinic
528,286,South Shore Hospital
529,286,Children's Hospital Boston
530,287,Mount Auburn Hospital
531,287,Newton-Wellesley Hospital
532,287,Beth Israel Deaconess Medical Center
533,288,Out of State Hospital
534,288,Lahey Clinic
535,289,Brigham & Women's Hospital
536,289,Lahey Clinic
537,290,Lahey Clinic
538,291,Cambridge Health Alliance - Cambridge Campus
539,292,Lahey Clinic
540,293,Emerson Hospital
541,293,Other
542,294,Massachusetts General Hospital
543,294,Cambridge Public Hlth Commission (The)
544,294,Spaulding Rehabilitation Hospital
545,294,M.I.T. Medical Department
546,295,Mount Auburn Hospital
547,296,Massachusetts General Hospital
548,296,Cambridge Health Alliance
549,297,Lahey Clinic
550,298,Emerson Hospital
551,298,Lahey Clinic
552,298,Mount Auburn Hospital
553,299,Winchester Hospital
554,299,Lahey Clinic
555,300,Lahey Clinic
556,300,North Shore Medical Center - Salem Hospital
557,301,Lahey Clinic
558,301,Emerson Hospital
559,302,Cambridge Health Alliance
560,303,MIT
561,304,Mount Auburn Hospital
562,304,Mount Auburn Hospital
563,304,Boston IVF
564,304,Beth Israel Deaconess Medical Center
565,305,Lahey Clinic
566,306,Harvard University Health Services
567,306,Quest Diagnostics
568,306,Inc.
569,307,Lahey Clinic
570,308,Mount Auburn Hospital
571,309,Cambridge Health Alliance - Somerville Campus
572,309,Cambridge Health Alliance - Whidden Campus
573,309,Cambridge Health Alliance - Cambridge Campus
574,310,Cambridge Health Alliance - Cambridge Campus
575,311,Lahey Clinic
576,312,Out of State Hospital
577,313,Lahey Clinic
578,314,Lahey Clinic
579,315,Mount Auburn Hospital
580,316,Mount Auburn Hospital
581,316,Beth Israel Deaconess Medical Center
582,317,Lahey Clinic
583,318,Lahey Clinic
584,319,Cambridge Health Alliance
585,320,Mount Auburn Hospital
586,321,Lahey Clinic
587,322,Mount Auburn Hospital
588,322,M.I.T. Medical Department
589,322,New England Baptist Hospital
590,322,Boston Outpatient Surgical Suites
591,323,Children's Hospital Boston
592,323,Massachusetts General Hospital
593,323,Cambridge Health Alliance
594,324,Lahey Clinic
595,325,Lahey Clinic
596,325,Out of State Hospital
597,326,Mount Auburn Hospital
598,326,Mount Auburn Hospital
599,326,Cambridge Health Alliance
600,326,MetroWest Medical Center
601,326,Beth Israel Deaconess Medical Center
602,327,Winchester Hospital
603,328,Quest Diagnostics
604,328,Inc.
605,329,Mount Auburn Hospital
606,330,Lahey Clinic
607,331,Massachusetts General Hospital
608,331,Brigham & Women's Hospital
609,332,Quest Diagnostics
610,332,Inc.
611,333,Beth Israel Deaconess Medical Center
612,334,Lahey Clinic
613,335,Cambridge Health Alliance
614,336,Cambridge Health Alliance - Cambridge Campus
615,337,Cooley Dickinson Hospital (The)
616,337,Holyoke Medical Center
617,338,Ball Square DCI
618,338,Lahey Clinic
619,339,Lahey Clinic
620,340,Mount Auburn Hospital
621,341,Vetarans Admin.Bostn Hlthcare Sys.
622,342,Emerson Hospital
623,343,Lahey Clinic
624,344,Mount Auburn Hospital
625,345,McLean Hospital
626,346,Lahey Clinic
627,347,Cambridge Health Alliance
628,348,Cooley Dickinson Hospital (The)
629,349,Lahey Clinic
630,350,Mount Auburn Hospital
631,350,Newton-Wellesley Hospital
632,350,Beth Israel Deaconess Medical Center
633,351,Steward Carney Hospital
634,351,Milton Hospital
635,351,Good Samaritan Medical Center
636,351,New England Sinai Hospital
637,351,Caritas Good Samaritan Medical Center
638,351,Beth Israel Deaconess Hospital - Milton
639,352,Emerson Hospital
640,353,Biogen Idec
641,354,Other
642,354,Lahey Clinic
643,354,Emerson Hospital
644,355,Lahey Clinic
645,355,Lahey Clinic
646,356,Children's Hospital Boston
647,356,Lahey Clinic
648,356,Beth Israel Deaconess Medical Center
649,357,Biogen Idec
650,358,Vinfen Corporation
651,359,Cambridge Health Alliance
652,360,Lahey Medical Center
653,360,Emerson Health
654,361,Lahey Clinic
655,362,Cooley Dickinson Hospital (The)
656,363,South Shore Hospital
657,364,Cambridge Health Alliance
658,365,Cambridge Health Alliance - Cambridge Campus
659,366,Steward St. Elizabeth's Medical Center of Boston
660,366,Cambridge Health Alliance
661,366,Steward St. Elizabeth's Medical Center of Boston
662,367,Cambridge Health Alliance - Cambridge Campus
663,367,East Cambridge Health Center
664,368,Cooley Dickinson Hospital (The)
665,368,VA Medical Center Northampton
666,369,Steward Carney Hospital
667,369,South Shore Hospital
668,369,Children's Hospital Boston
669,370,U Mass Health System
670,370,Marlborough Hosp
671,371,MIT Health Services
672,372,Cambridge Health Alliance - Cambridge Campus
673,373,Children's Hospital Boston
674,373,Lahey Clinic
675,373,Brigham & Women's Hospital
676,373,Out of State Hospital
677,374,University of Massachusetts Med Center
678,374,University of Massachusetts Med Center
679,374,Dept of Mental Health
680,375,Cooley Dickinson Hospital (The)
681,376,Cambridge Health Alliance - Cambridge Campus
682,377,M.I.T. Medical Department
683,378,Lahey Clinic
684,379,Mount Auburn Hospital
685,379,Symmes Hospital
686,380,Cooley Dickinson Hospital (The)
687,381,Lahey Clinic
688,382,Lahey Clinic
689,383,Lahey Clinic
690,383,Winchester Hospital
691,384,Cooley Dickinson Hospital (The)
692,385,South Shore Hospital
693,386,McLean Hospital
694,387,Lahey Clinic
695,388,Boston University Medical Ctr Hospital
696,388,Boston City Hospital
697,388,Steward Carney Hospital
698,388,Steward Medical Group
699,389,Lahey Clinic
700,390,Harvard Vanguard- Somerville
701,390,Mount Auburn Hospital
702,390,Harvard Vanguard Medical Associates
703,391,Brigham & Women's Hospital
704,392,Winchester Hospital
705,392,Part of Beth Israel Lahey Health
706,393,Cambridge Health Alliance
707,394,Mount Auburn Hospital
708,395,Cambridge Public Hlth Commission (The)
709,396,Mount Auburn Hospital
710,396,M.I.T. Medical Department
711,396,Brigham & Women's Hospital
712,397,Cambridge Health Alliance
713,398,Beth Israel Deaconess Medical Center
714,398,Harvard Medical School
715,399,M.I.T. Medical Department
716,399,Private Practice
717,400,Mount Auburn Hospital
718,401,Private Office
719,401,MIT Health Services
720,402,Mount Auburn Hospital
721,402,Harvard Vanguard- Kenmore Square
722,403,Harvard University Health Services
723,404,Lahey Clinic
724,405,Out of State Hospital
725,406,Massachusetts Eye & Ear Infirmary
726,407,Massachusetts General Hospital
727,407,Westwood Lodge Hospital AMI
728,407,Pembroke Hospital AMI
729,408,Lahey Clinic
730,408,Lahey Clinic
731,409,Beth Israel Deaconess Medical Center
732,409,Cambridge Health Alliance
733,410,Lahey Clinic
734,410,Lahey Clinic
735,411,U Mass Health System
736,411,Marlborough Hosp
737,411,UMass Memorial Medical Center
738,411,Worcester Medical Center
739,412,South Shore Hospital
740,412,Children's Hospital Boston
741,413,Lahey Clinic
742,413,Lahey Clinic
743,414,Massachusetts General Hospital
744,414,Private Practice
745,415,Private Practice
746,415,McLean Hospital
747,416,Lahey Clinic
748,417,Beth Israel Deaconess Medical Center
749,417,Private Office
750,418,South Shore Hospital
751,419,Lahey Clinic
752,419,Beverly Hospital
753,420,Beth Israel Deaconess Medical Center
754,420,HVMA
755,421,Mount Auburn Hospital
756,422,Mount Auburn Hospital
757,423,Cambridge Health Alliance
758,423,Cambridge Health Alliance
759,424,Tufts - New England Medical Center Hospitals
760,425,Lahey Clinic
761,426,Salem Hospital
762,426,Lahey Clinic
763,426,Union Hospital
764,426,Beth Israel Deaconess Medical Center
765,427,Lahey Clinic
766,427,UMass Memorial Medical Center
767,428,Nashoba Valley Medical Center
768,429,Lahey Clinic
769,429,Lahey Clinic
770,429,Winchester Hospital
771,430,Beth Israel Deaconess Medical Center
772,430,Beth Israel Deaconess Medical Center
773,431,Lahey Clinic
774,432,Lahey Clinic
775,432,Lahey Clinic
776,433,Children's Hospital Boston
777,433,Harvard Vanguard Medical Assoc.- Burlington
778,434,Lahey Clinic
779,435,Mount Auburn Hospital
780,435,MVA Center Rehabilitation
781,436,Cambridge Health Alliance - Cambridge Campus
782,436,Cambridge Health Alliance
783,436,Home Office
784,437,Cambridge Health Alliance - Somerville Campus
785,437,Cambridge Health Alliance - Cambridge Campus
786,438,Emerson Hospital
787,439,Private Office
788,439,Cambridge Health Alliance
789,440,Lahey Hospital & Medical Center
790,440,Part of Beth Israel Lahey Health
791,441,Lahey Clinic
792,442,Lahey Clinic
793,442,Lahey Clinic
794,443,Lahey Clinic
795,444,328 Broadway
796,445,MGH - Revere Health Care Center
797,446,Cambridge Health Alliance - Cambridge Campus
798,447,Emerson Hospital
799,448,Mount Auburn Hospital
800,448,Cambridge Health Alliance
801,449,Lahey Clinic
802,449,Lahey Clinic
803,450,Cambridge Health Alliance
804,451,Cooley Dickinson Hospital (The)
805,451,Valley Medical Group
806,452,Cooley Dickinson Hospital (The)
807,453,Massachusetts Eye & Ear Infirmary
808,454,MIT Health Services
809,455,Mount Auburn Hospital
810,456,Lahey Clinic
811,457,Mount Auburn Hospital
812,457,M.I.T. Medical Department
813,458,Lahey Clinic
814,459,Lahey Clinic
815,460,Private Office
816,461,Offfice/private practice
817,462,Mount Auburn Hospital
818,463,Lahey Clinic
819,464,Lahey Clinic
820,465,Lahey Clinic
821,466,Baystate Franklin Medical Center
822,466,Mercy Medical Center
823,466,Out of State Hospital
824,467,Mount Auburn Hospital
825,467,Mount Auburn Hospital
826,468,Lahey Clinic
827,469,Emerson Hospital
828,470,Brockton Hospital
829,470,Beverly Hospital
830,470,Winchester Hospital
831,470,Lahey Clinic
832,471,Cambridge Health Alliance
833,472,Tufts Medical Center
834,472,Mount Auburn Hospital
835,472,Winchester Hospital
836,472,Surgisite  Boston
837,473,Lahey Clinic
838,474,McLean Hospital
839,474,Private Office
840,475,Steward Carney Hospital
841,475,South Shore Hospital
842,475,Massachusetts Eye & Ear Infirmary
843,475,New England Eye Surgical Center
844,475,Good Samaritan Medical Center
845,475,Massachusetts General Hospital
846,475,Beth Israel Deaconess Hospital - Milton
847,476,Cambridge Health Alliance - Cambridge Campus
848,476,Cambridge Health Alliance
849,477,Southcoast Hosps Group-Charlton Campus
850,478,Harvard Vanguard Medical Assoc.- Burlington
851,478,Harvard Vanguard- Somerville
852,479,Lahey Clinic
853,479,Lahey Clinic
854,480,Cambridge Health Alliance - Cambridge Campus
855,481,Cambridge Health Alliance - Cambridge Campus
856,481,Cambridge Health Alliance
857,482,Harvard Vanguard Medical Assoc.- Burlington
858,483,Mount Auburn Hospital
859,483,Belmont Medical Associates Inc.- Cambridge
860,484,Lahey Clinic
861,485,Mount Auburn Hospital
862,486,Private Office
863,487,MIT Health Services
864,488,Children's Hospital Boston
865,489,Lahey Clinic
866,490,Home Office
867,490,Cambridge Health Alliance - Cambridge Campus
868,491,Cambridge Health Alliance
869,492,Harvard University Health Services
870,493,Children's Hospital Boston
871,493,Massachusetts General Hospital
872,493,Brigham & Women's Hospital
873,493,Beth Israel Deaconess Medical Center
874,494,Lahey Clinic
875,495,Lahey Clinic
876,496,Cambridge Health Alliance - Cambridge Campus
877,496,Tewksbury Hospital
878,497,South Shore Hospital
879,498,Lahey Clinic
880,498,Lahey Clinic
881,498,Beverly Hospital
