PID,Name
35/9856,Marcus Eng Hock Ong
31/7025,Mengling Feng
225/2875,Bibhas Chakraborty
86/4643-3,Nan Liu 0003
202/5448,Suman Bhoi
267/8378,Andrew Hao Sen Fang
257/9440,Ngiap Chuan Tan
266/3614,Alex Foo
194/8228,Gavin Siew Wei Tan
254/9157,Anab Maulana Barik
322/0749,Jay Zhangjie Wu
307/3295,David Junhao Zhang
186/7914,Mohammed Haroon Dupty
120/5481,Yanfei Dong
07/4580,Yang Zhou
258/5802,Dixant Mittal
160/3339,Siddharth Aravindan
276/5015,Yong Liang Goh
95/378,Xavier Bresson
47/8889-1,Thomas Laurent 0001
276/5027,Nicholas Lim
228/8970,Yujiao Hu
19/5112-8,Zhen Zhang 0008
25/4120-4,Yuan Yao 0004
281/2492,Xingpeng Huyan
88/20-1,Xingshe Zhou 0001
267/5502,Kuangqi Zhou
178/5284,Marshall Ball
133/2245,Maciej Obremski
216/6149,João L. Ribeiro 0001
58/2782sb,Mark Simkin 0001
167/2782,Luisa Siniscalchi
95/9050,Nico Döttling
303/4993,Jesko Dujmovic
81/10308,Mohammad Hajiabadi
148/1304,Giulio Malavolta
64/6728,Bhavana Kanukurthi
208/0827,Sai Lakshmi Bhavana Obbattu
208/0806,Sruthi Sekar
266/1436,Eldon Chung
270/8692,Zeyong Li
143/4482,Noah Stephens-Davidowitz
163/9000,Minghui Hu
38/5213,Yu-Lin He
302/7348,Guiliang Ou
76/2649,Philippe Fournier-Viger
h/JoshuaZhexueHuang,Joshua Zhexue Huang
40/5548,Liang Du
270/0391,Ruobin Gao
179/8335,David Z. W. Wang
328/5437,Tianping Liu
134/8096,Guojiang Xiong
86/11199,Ali Wagdy Mohamed
254/5126,M. A. Ganaie
03/9444,Muhammad Tanveer 0001
s/VaclavSnasel,Václav Snásel
67/6188,Abhishek Kumar
198/1021,Ayush Tewari
145/9981,Justus Thies
220/5676,Edgar Tretschk
47/6959,Yifan Wang
144/3202,Christoph Lassner
192/1958,Vincent Sitzmann
16/7968,Ricardo Martin-Brualla
22/11237,Stephen Lombardi
23/8654,Tomas Simon
55/3346,Christian Theobalt
84/8221,Matthias Nießner
13/4660,Gordon Wetzstein
52/8573,Michael Zollhöfer
180/6438,Vladislav Golyanik
81/7246-1,Yifan Jiang 0001
296/6174,Wei Ying Tan
296/6185,Ronald Wihal Oei
300/9472,Steven Jia He Lee
281/9449,Tangqing Li
121/6099,Qiao Gao
l/TokWangLing,Tok Wang Ling
193/4096,Jay Nandy
309/4426,Min Min Chan
309/4279,Amanda Yun Rui Lam
48/5564,David Carmody
223/4047,Yingtian Zou
140/0186,Dejiang Xu
183/1425,Sandareka Wickramanayake
281/9543,Chris Samarinas
185/6507,Rrubaa Panchendrarajan
79/3108,Qian Lin
180/5654,Ruixi Lin
275/3631,Qingyu Tan
203/9668,Ruidan He
53/6625,Lidong Bing
190/4388,Hai Ye
188/9071,Wenjuan Han
324/3413,Muhammad Qorib
56/3784,Seung-Hoon Na
83/4243-7,Lu Xu 0007
98/8109,Yixuan Tang
t/AnthonyKHTung,Anthony K. H. Tung
24/4470,Yang Song
305/9825,Xin Cai Ong
305/9817,Hannan Cao
222/7878,Thanh Vinh Vo
29/11273,Pengfei Wei
139/1433,Wicher Bergsma
62/540,Trong Nghia Hoang
06/5141,Young Lee
18/1099,Xinghua Qu
07/3111,Yiping Ke
64/4136,Yew-Soon Ong
72/51,Zhiqiang Xu
20/8606,Xinyi Xu
180/7292,Tiancheng Huang
71/11357-2,Akshay Narayan 0002
160/0436,Parvathy Sudhir Pillai
76/847,Lei Feng
18/1411-5,Trung Thanh Nguyen 0005
03/5102,Jin Yu
269/4228,Haiyin Piao
180/1448,Yaqing Hou
44/1152,Xin Yang
50/545,Deyun Zhou
174/2169,Yifei Zhu
180/7110,Defu Lin
260/0352,Peijian Lv
290/6753,Jianchuan Ye
271/6351,Guangbiao Liu
87/3951,Jianzhong Zhou
140/4180,Yuqi Yang
271/6544,Shenglin Ke
69/4019,Yongqiang Wang
246/7489,Xiaogang Xiao
37/4713,Chung-Yi Weng
c/BrianCurless,Brian Curless
k/IraKemelmacher,Ira Kemelmacher-Shlizerman
205/2647,Vincent Casser
160/2807,Xinchen Yan
190/7060,Sabeek Pradhan
68/1363,Henrik Kretzschmar
161/2561,Aviad Levis
210/2651,Andrew A. Chael
01/8759,Katherine L. Bouman
147/2810,Xiuming Zhang
203/8282,Boyang Deng
d/PaulEDebevec,Paul E. Debevec
86/6650,William T. Freeman
280/0471,Terrance Wang
127/1756,Chuchu Fan
230/7736,Zengyi Qin
127/1927,Qiang Ning
07/3797,Sayan Mitra
23/2759-1,Mahesh Viswanathan 0001
47/8037,Andreas Pavlogiannis
311/4481,Hünkar Can Tunç
89/148,Azadeh Farzan
164/5402,Rucha Kulkarni
65/7449,Vijayaraghavan Murali
260/2726,Edward Yao
c/SatishChandra,Satish Chandra 0001
126/3666-2,Minjian Zhang 0002
46/8261,Matthew S. Bauer
c/RohitChadha,Rohit Chadha
245/0010,Letao Liu
83/2884,Martin Saerbeck
d/JustinDauwels,Justin Dauwels
325/4701,Haoge Jiang
225/7475,Mahdi Abolfazli Esfahani
130/9482-2,Keyu Wu 0002
62/8429,Kong-Wah Wan
325/4771,Kuan-kian Heng
67/1771-1,Han Wang 0001
07/7776,Junxing Cao
309/9066,Jinhai Yang 0004
03/2134,Jie Liu
23/5823,Peng Zhou
227/4507,Jianhan Mei
230/1216,Henghui Ding
278/8463,Sreejith Balakrishnan
152/1011,Jianxin Bi
156/1020,Shuyue Hu
241/7773,Chin-Wing Leung
l/HofungLeung,Ho-fung Leung
21/3113,Cynthia Matuszek
144/1022,Matthew C. Gombolay
135/8173,Nakul Gopalan
s/ReidGSimmons,Reid G. Simmons
62/6555,Stefanos Nikolaidis
273/7157,Kaiqi Chen
91/9826,Jeffrey Fong
176/0245,Desmond C. Ong
125/4223,Jamil Zaki
96/1216,Noah D. Goodman
157/6334,Hanxiao Liu
207/8071,Yuqing Ni
81/3323,Karl Henrik Johansson
53/2189,Li Li
46/2181,Yang Yu
175/9380,Xiuxian Li
135/5770,Yuchao Li
35/860,Jonas Mårtensson 0001
207/7607,Thien-Minh Nguyen
133/3411,Shenghai Yuan
223/4438,Muqing Cao
222/2018,Yang Lyu
223/4580,Thien Hoang Nguyen
06/5852,Jianfei Yang
318/1400,Xinyan Chen
147/4905,Jean Pouget-Abadie
119/1493,Mehdi Mirza
68/3832,Bing Xu
71/9421,David Warde-Farley
139/0736,Sherjil Ozair
56/1688,Aaron C. Courville
56/953,Yoshua Bengio
187/8653,Sumanth Dathathri
16/8758,Krishnamurthy Dvijotham
56/9834,Alexey Kurakin
166/1409,Aditi Raghunathan
198/1298,Jonathan Uesato
180/5419,Rudy Bunel
215/5341,Shreya Shankar
35/10625,Jacob Steinhardt
